Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
28078,The Birth of Venus,Sarah Dunant,"Dunant, Sarah",,0812968972,9780812968972,0,3.80,Random House,Paperback,427,2004,2003,,2018/10/24,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
3061,The Natural Way to Draw,Kimon Nicolaides,"Nicolaides, Kimon",Mamie Harmon,0395530075,9780395530078,0,3.88,Mariner Books,Paperback,240,1990,1941,,2018/10/24,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
7821828,The Hare With Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,"Waal, Edmund de",,0374105979,9780374105976,0,3.85,"Farrar, Straus and Giroux",Hardcover,368,2010,2009,,2018/10/24,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
40168,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,Danny Gregory,"Gregory, Danny",,1401307922,9781401307929,0,3.93,Hachette Books,Paperback,208,2006,2005,,2018/10/24,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
497164,Camera Lucida: Reflections on Photography,Roland Barthes,"Barthes, Roland",Richard Howard,0374521344,9780374521349,0,3.93,Hill and Wang,Paperback,119,1982,1980,,2018/10/24,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
37826511,Bibliophile: An Illustrated Miscellany,Jane Mount,"Mount, Jane",,1452167230,9781452167237,0,4.49,Chronicle Books,Hardcover,224,2018,2018,,2018/10/24,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
7907803,An Object of Beauty,Steve Martin,"Martin, Steve",,0446573647,9780446573641,0,3.60,Grand Central Publishing,Hardcover,304,2010,2010,,2018/10/24,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,1501139150,9781501139154,0,4.18,Simon  Schuster,Hardcover,600,2017,2017,,2018/10/24,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
103902,Gustav Klimt: 1862-1918,Gilles Néret,"Néret, Gilles",,382285980X,9783822859803,0,4.12,Taschen,Paperback,96,1999,1992,,2018/10/24,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
31937362,The Italian Teacher,Tom Rachman,"Rachman, Tom",,1786482576,9781786482570,0,3.60,Riverrun,Hardcover,336,2018,2018,,2018/10/24,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
19797,The Power of Art,Simon Schama,"Schama, Simon",,0061176109,9780061176104,0,3.87,Ecco,Hardcover,448,2006,2006,,2018/10/24,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
207781,"The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Art (Icon Editions)",Robert Henri,"Henri, Robert","Forbes Watson, Margery A. Ryerson",0064301389,9780064301381,0,3.86,Westview Press,Paperback,284,1984,1929,,2018/10/24,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
91767,Frida: A Biography of Frida Kahlo,Hayden Herrera,"Herrera, Hayden",,0060085894,9780060085896,0,3.95,Harper Perennial,Paperback,528,2002,1983,,2018/10/24,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
737957,Michelangelo and the Pope's Ceiling,Ross King,"King, Ross",,0142003697,9780142003695,0,3.75,Penguin,Paperback,384,2003,2003,,2018/10/24,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
27876293,Cooking for Picasso,Camille Aubray,"Aubray, Camille",,0399177671,9780399177675,0,3.84,Ballantine Books,ebook,400,2016,2016,,2018/10/24,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
203805,Vincent Van Gogh: The Complete Paintings,Rainer Metzger,"Metzger, Rainer",Ingo F. Walther,3822812153,9783822812150,0,4.07,Taschen,Hardcover,740,2001,1988,,2018/10/24,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
2693801,History of Art,H.W. Janson,"Janson, H.W.",Anthony F. Janson,0500237514,9780500237519,0,3.76,Thames and Hudson,Hardcover,1000,1997,1962,,2018/10/24,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
10505,History of Beauty,Umberto Eco,"Eco, Umberto","Girolamo De Michele, Alastair McEwen, Agnolo di Cosimo Bronzino",0847826465,9780847826469,0,3.76,Rizzoli,Hardcover,432,2004,2004,,2018/10/24,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
6988014,Seven Days in the Art World,Sarah Thornton,"Thornton, Sarah",,039333712X,9780393337129,0,3.58,W. W. Norton & Company,Paperback,320,2009,2008,,2018/10/24,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
567616,The Art Book,Phaidon Press,"Press, Phaidon",,0714836257,9780714836256,0,3.81,Phaidon Press,Paperback,515,1997,1997,,2018/10/24,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
165718,Why Art Cannot be Taught: A Handbook for Art Students,James Elkins,"Elkins, James",,0252069501,9780252069505,0,3.95,University of Illinois Press,Paperback,224,2001,2001,,2018/10/24,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
15778,The Art of Looking Sideways,Alan Fletcher,"Fletcher, Alan",,0714834491,9780714834498,0,4.11,Phaidon Press,Hardcover,533,2001,2001,,2018/10/24,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
